sun altitude,sat altitude,sat height,measured_ab,irradiance,aoi,az diff
-13.7,24.9,526951.5,8.79470628833142,8.3171e-12,11.0,70.30000000000001
-19.9,21.3,526950.4,7.11838406174278,3.89497e-11,10.9,12.5
-13.7,25.1,526948.2,8.8536526874973,7.8776e-12,10.9,69.5
-19.9,21.2,526948.2,7.76194642329999,2.15317e-11,10.9,12.799999999999997
-19.9,21.1,526947.3,7.18853539224763,3.65127e-11,10.9,12.899999999999999
-19.9,20.9,526945.2,7.87744144627321,1.93589e-11,10.8,13.299999999999997
-13.7,25.3,526945.1,8.74332434488448,8.7202e-12,10.8,68.90000000000003
-19.9,20.8,526944.2,7.21131645696604,3.57545e-11,10.8,13.399999999999999
-19.9,20.7,526942.0,7.98957640019163,1.74593e-11,10.7,13.699999999999996
-19.9,20.4,526938.8,8.13418980131488,1.5282e-11,10.7,14.100000000000001
-19.9,20.3,526937.7,7.1497449684521,3.78407e-11,10.6,14.299999999999997
-19.9,20.2,526935.5,8.24124855173448,1.3847e-11,10.6,14.600000000000001
-19.9,20.0,526933.6,8.31741270940281,1.2909e-11,10.6,14.799999999999997
-13.7,26.1,526932.8,8.65490743399734,9.46e-12,10.5,66.10000000000002
-13.7,26.2,526931.3,8.78522323263989,8.3901e-12,10.5,65.80000000000001
-13.7,26.3,526929.1,8.7397753918587,8.7487e-12,10.5,65.30000000000001
-13.7,26.4,526927.6,8.75848349320358,8.5993e-12,10.4,65.0
-13.7,26.5,526926.0,8.76492709391668,8.5484e-12,10.4,64.60000000000002
-13.7,26.6,526924.0,8.68601290776137,9.1929e-12,10.4,64.20000000000005
-13.7,26.7,526922.3,8.63255501346597,9.6568e-12,10.3,63.80000000000001
-13.7,26.8,526920.0,8.62029746879378,9.7665e-12,10.3,63.30000000000001
-13.7,26.9,526918.2,8.53742505956899,1.05411e-11,10.2,62.900000000000034
-13.7,27.0,526916.5,8.55449684047377,1.03767e-11,10.2,62.60000000000002
-13.7,27.1,526914.5,8.70406476484363,9.0413e-12,10.2,62.200000000000045
-13.7,27.3,526909.8,8.64476947718623,9.5488e-12,10.1,61.10000000000002
-13.7,27.4,526907.1,8.5835720963367,1.01025e-11,10.0,60.599999999999966
-13.7,27.6,526903.0,8.61069721899147,9.8532e-12,9.9,59.80000000000001
-13.6,27.8,526898.3,8.54270078340047,1.049e-11,9.8,58.80000000000001
-13.6,27.9,526894.6,8.51211426292238,1.07897e-11,9.8,58.0
-13.6,28.1,526890.9,8.4441544309031,1.14867e-11,9.7,57.19999999999999
-13.6,28.2,526887.4,8.48532041545494,1.10593e-11,9.7,56.39999999999998
-13.6,28.3,526884.7,8.49264680852803,1.09849e-11,9.6,55.89999999999998
-13.6,28.4,526881.8,8.47694401592179,1.1145e-11,9.6,55.30000000000001
-13.6,28.6,526875.6,8.44832938232193,1.14426e-11,9.4,53.89999999999998
-13.6,28.7,526872.9,8.47260815009962,1.11896e-11,9.4,53.39999999999998
-13.6,28.8,526870.3,8.4018002328362,1.19436e-11,9.3,52.80000000000001
-13.6,28.8,526868.2,8.40223525144288,1.19388e-11,9.3,52.39999999999998
-13.6,28.9,526864.2,8.39874341823966,1.19773e-11,9.2,51.599999999999966
-13.6,29.0,526862.6,8.48286479398085,1.10844e-11,9.2,51.19999999999999
-13.6,29.0,526860.5,8.43750889652586,1.15572e-11,9.2,50.80000000000001
-13.6,29.1,526858.6,8.43886544937263,1.15428e-11,9.2,50.39999999999998
-13.6,29.2,526852.2,8.35637350140142,1.24539e-11,9.0,49.099999999999966
-13.6,29.3,526848.5,8.36205875696237,1.23889e-11,9.0,48.30000000000001
-13.6,29.3,526844.5,8.35062558983733,1.25201e-11,8.9,47.5
-13.6,29.4,526839.9,8.28767957225163,1.32674e-11,8.8,46.6
-13.6,29.5,526835.7,8.27554017263214,1.34165e-11,8.8,45.8
-13.6,29.5,526831.3,8.26369146012324,1.35638e-11,8.7,45.0
-13.6,29.6,526825.9,8.18207589085103,1.46227e-11,8.6,43.9
-13.6,29.6,526823.2,8.22670642670074,1.40338e-11,8.6,43.3
-13.6,29.6,526820.8,8.18302909497769,1.46098e-11,8.5,42.9
-13.6,29.7,526818.3,8.14596354654693,1.51172e-11,8.5,42.4
-13.6,29.7,526815.7,8.09792474358679,1.58011e-11,8.5,41.9
-13.6,29.7,526813.0,8.10835660000323,1.565e-11,8.4,41.4
-13.5,29.7,526810.2,8.06763711291172,1.62481e-11,8.4,40.8
-13.5,29.7,526807.3,8.03755932268291,1.67045e-11,8.3,40.3
-13.5,29.7,526804.6,8.01513742976756,1.7053e-11,8.3,39.8
-13.5,29.7,526802.2,8.02844577657288,1.68453e-11,8.3,39.3
-13.5,29.8,526800.3,7.9828851494422,1.75672e-11,8.2,38.9
-13.5,29.8,526797.5,7.9508933034969,1.80925e-11,8.2,38.4
-13.5,29.8,526795.3,7.88109381660588,1.92939e-11,8.2,38.0
-13.5,29.8,526792.4,7.87007452599766,1.94907e-11,8.1,37.5
-13.5,29.6,526758.1,7.34757042117992,3.15376e-11,7.6,31.299999999999997
-13.5,29.5,526753.3,7.28597632422391,3.33785e-11,7.6,30.499999999999996
-13.5,29.4,526747.7,7.10636071375963,3.93834e-11,7.5,29.499999999999996
-13.5,29.4,526744.2,7.01890941396215,4.26868e-11,7.5,29.0
-13.5,29.4,526741.4,7.02561210031796,4.24241e-11,7.4,28.599999999999998
-13.5,29.3,526738.8,7.00541503805404,4.32207e-11,7.4,28.099999999999998
-13.5,29.3,526736.0,7.14359207884629,3.80558e-11,7.4,27.7
-13.5,29.2,526733.4,7.09682091289052,3.9731e-11,7.3,27.299999999999997
-13.5,29.2,526729.6,7.04232386461745,4.17761e-11,7.3,26.7
-13.5,29.1,526727.1,6.98933732738881,4.38655e-11,7.2,26.2
-13.5,29.1,526723.3,6.98184548879779,4.41692e-11,7.2,25.599999999999998
-13.5,29.0,526719.1,6.96695547496573,4.47791e-11,7.1,25.0
-13.5,28.9,526716.6,6.95657905335635,4.52091e-11,7.1,24.599999999999998
-13.5,28.9,526714.0,6.92338857467664,4.66125e-11,7.1,24.2
-13.5,28.8,526711.7,6.89061124736897,4.80411e-11,7.0,23.799999999999997
-13.5,28.8,526709.0,6.88383925583142,4.83417e-11,7.0,23.4
-13.5,28.6,526698.5,6.60731209201759,6.23639e-11,6.9,21.799999999999997
-13.4,28.5,526693.7,6.53506883139138,6.66546e-11,6.8,21.2
-13.4,28.3,526687.1,6.41212013467065,7.46466e-11,6.7,20.2
-13.4,28.2,526680.9,6.25186491021052,8.65191e-11,6.7,19.299999999999997
-13.4,28.0,526674.2,6.28000363282277,8.43056e-11,6.6,18.4
-13.4,27.9,526667.8,6.08794396904739,1.006191e-10,6.5,17.5
-13.4,27.7,526662.4,6.11944525398793,9.77417e-11,6.4,16.799999999999997
-13.4,27.6,526657.8,6.10383429831394,9.91572e-11,6.4,16.2
-13.4,27.5,526653.3,5.97661440723709,1.114839e-10,6.3,15.600000000000001
-13.4,27.4,526650.6,5.85468433821273,1.247338e-10,6.3,15.199999999999996
-13.4,27.3,526647.6,5.79262998777901,1.320705e-10,6.3,14.899999999999999
-13.4,27.2,526644.7,5.76532622587083,1.354339e-10,6.2,14.5
-13.4,27.2,526642.3,5.77477365386549,1.342606e-10,6.2,14.199999999999996
-13.4,27.1,526639.2,5.87721105213516,1.221725e-10,6.2,13.799999999999997
-13.4,27.0,526636.6,5.89423864246282,1.202714e-10,6.1,13.600000000000001
-13.4,26.9,526633.2,5.87662511090664,1.222385e-10,6.1,13.200000000000003
-13.4,26.8,526629.9,5.8156846635692,1.292957e-10,6.1,12.799999999999997
-13.4,26.7,526626.1,5.84003747799984,1.264279e-10,6.0,12.299999999999997
-13.4,26.6,526622.9,5.92105053269529,1.173377e-10,6.0,11.899999999999999
-13.4,26.5,526619.8,5.93185215669379,1.161762e-10,5.9,11.600000000000001
-13.4,26.3,526610.6,5.99617891626004,1.09493e-10,5.8,10.5
-13.4,26.1,526605.8,5.91698378826373,1.177781e-10,5.8,10.0
-13.4,26.0,526599.4,5.74746966299551,1.376798e-10,5.7,9.299999999999997
-13.4,25.8,526592.7,5.57597723386665,1.612379e-10,5.6,8.5
-13.4,25.5,526584.1,5.53175198115602,1.679412e-10,5.6,7.600000000000001
-13.4,25.3,526577.2,5.47003915866179,1.777634e-10,5.5,6.899999999999999
-13.4,24.9,526565.3,5.57593421062724,1.612443e-10,5.3,5.700000000000003
-13.3,24.8,526559.7,5.59398189909351,1.585861e-10,5.3,5.200000000000003
-13.3,24.6,526556.1,5.56564457738223,1.627797e-10,5.3,4.799999999999997
-13.3,24.5,526550.9,5.51237139905181,1.709659e-10,5.2,4.299999999999997
-13.3,24.4,526546.9,5.48596578474517,1.751748e-10,5.2,4.0
-13.3,24.3,526543.0,5.37248527199494,1.944751e-10,5.1,3.6000000000000014
-13.3,24.1,526539.2,5.42272926464043,1.856805e-10,5.1,3.200000000000003
-13.3,24.0,526535.4,5.41192523622208,1.875374e-10,5.0,2.8999999999999986
-13.3,23.8,526527.6,5.5569199513666,1.64093e-10,5.0,2.200000000000003
-13.3,23.7,526524.7,5.58078452916957,1.605256e-10,4.9,1.8999999999999986
-13.3,23.6,526521.4,5.66146766951259,1.49029e-10,4.9,1.7000000000000028
-13.3,23.5,526517.8,5.54424752332308,1.660195e-10,4.9,1.3999999999999986
-13.3,23.4,526514.1,5.49359946536173,1.739475e-10,4.8,1.1000000000000014
-13.3,23.1,526504.6,5.10089969534748,2.497458e-10,4.7,0.30000000000000426
-13.3,22.9,526498.9,5.13371252371882,2.423109e-10,4.7,0.10000000000000142
